城市,家庭戶數,所得收入總計,消費支出
新 北 市,1571557,1319840.881,810975.2025
臺 北 市,1058621,1723021.282,1152500.512
桃 園 市,816222,1392198.799,853094.799
臺 中 市,979469,1298496.732,894519.2436
臺 南 市,692289,1079174.017,714444.6967
高 雄 市,1104650,1224668.477,842427.5097
