城市,家庭戶數,所得收入總計,消費支出
新 北 市,1533928 ,1265798 ,823461 
臺 北 市,1049354 ,1648122 ,1080904 
桃 園 市,779743 ,1337361 ,879508 
臺 中 市,951383 ,1245350 ,849155 
臺 南 市,680737 ,1079199 ,707495 
高 雄 市,1087007 ,1186204 ,795624 
